moderator,level,treatment,control,n_a,n_b,mean_a,mean_b,difference,standard_error,welch_df,t_stat,p_value,ci_low,ci_high,estimate_label,ci_label
history_segment,3) $200 - $350,Mens E-Mail,No E-Mail,4090,4044,1.4694621026894867,0.9328808110781406,0.5365812916113462,0.3599383757177425,8032.966522654829,1.4907587737522159,0.1360641031480451,-0.1689912731007409,1.2421538563234331,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,3) $200 - $350,Womens E-Mail,No E-Mail,4155,4044,0.6097400722021661,0.9328808110781406,-0.3231407388759745,0.2895727459660378,7170.630088777737,-1.115922487104065,0.2644927093110117,-0.8907887075945209,0.2445072298425719,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,5) $500 - $750,Mens E-Mail,No E-Mail,1597,1652,1.6418659987476518,0.5388559322033899,1.103010066544262,0.5018938290655005,2156.9277956034366,2.1976960119195086,0.028076723359398485,0.11876393097097604,2.0872562021175476,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,5) $500 - $750,Womens E-Mail,No E-Mail,1662,1652,1.8245066185318892,0.5388559322033899,1.2856506863284993,0.5099024302194884,2222.012034881239,2.5213660695343,0.011759442489819734,0.2857156122775105,2.285585760379488,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,1) $0 - $100,Mens E-Mail,No E-Mail,7724,7612,1.0551760745727603,0.516893063583815,0.5382830109889453,0.2170487889847939,13842.495243031724,2.4800092804325966,0.013149698788124836,0.11283800154377643,0.9637280204341141,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,1) $0 - $100,Womens E-Mail,No E-Mail,7634,7612,1.142712863505371,0.516893063583815,0.6258197999215559,0.2233101999419225,13401.040575624878,2.802468494875363,0.0050785968359421015,0.18810031645638758,1.0635392833867243,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,"6) $750 - $1,000",Mens E-Mail,No E-Mail,644,622,1.8836801242236023,0.3495337620578778,1.5341463621657245,0.6369024004820303,802.5100186618516,2.408762097622223,0.016231117525668335,0.28395507664749076,2.7843376476839583,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,"6) $750 - $1,000",Womens E-Mail,No E-Mail,593,622,0.9977908937605398,0.3495337620578778,0.648257131702662,0.4925690961552939,853.5465443434668,1.3160734945870087,0.18850270521198711,-0.31853146965155965,1.6150457330568835,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,4) $350 - $500,Mens E-Mail,No E-Mail,2097,2124,2.579208392942298,1.0102683615819208,1.5689400313603774,0.602937957769893,3124.788050644351,2.602158333443575,0.009307654959671523,0.38674543747747636,2.7511346252432785,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,4) $350 - $500,Womens E-Mail,No E-Mail,2188,2124,0.9093784277879342,1.0102683615819208,-0.10088993379398659,0.3914952036435782,4309.988535515713,-0.25770413750927573,0.7966475558048794,-0.8684219763765312,0.666642108788558,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,"7) $1,000 +",Mens E-Mail,No E-Mail,464,416,3.491875,2.169807692307692,1.3220673076923077,1.9323654346784847,874.3902023175491,0.6841704389688998,0.49404882851064286,-2.470549109574353,5.114683724958969,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,"7) $1,000 +",Womens E-Mail,No E-Mail,428,416,4.676588785046729,2.169807692307692,2.5067810927390366,2.257958730056937,754.560463076493,1.1101979231816275,0.2672674113773777,-1.92584672574216,6.939408911220234,subgroup_effect_estimate,nominal_95pct_unadjusted
mens,Yes,Mens E-Mail,No E-Mail,11739,11787,1.6804378567169267,0.7837999490964622,0.8966379076204645,0.2207097129985426,20462.15561753731,4.062521288432762,4.872649822201371e-05,0.46402922973139626,1.3292465855095328,subgroup_effect_estimate,nominal_95pct_unadjusted
mens,Yes,Womens E-Mail,No E-Mail,11740,11787,1.0402155025553663,0.7837999490964622,0.2564155534589041,0.19063522297748675,22807.554318600596,1.3450586384510157,0.1786196728186695,-0.11724244724635025,0.6300735541641584,subgroup_effect_estimate,nominal_95pct_unadjusted
mens,No,Mens E-Mail,No E-Mail,9568,9519,1.106294941471572,0.4905641348881185,0.6157308065834535,0.1765608796918219,15919.591054195193,3.4873569256008494,0.0004891358520919582,0.26965152897453104,0.9618100841923759,subgroup_effect_estimate,nominal_95pct_unadjusted
mens,No,Womens E-Mail,No E-Mail,9647,9519,1.122212086659065,0.4905641348881185,0.6316479517709466,0.17169419102604813,16404.992559086866,3.6789127692451618,0.0002349794331030802,0.2951086910803512,0.9681872124615419,subgroup_effect_estimate,nominal_95pct_unadjusted
womens,No,Mens E-Mail,No E-Mail,9558,9638,1.3781617493199416,0.6954264370201286,0.682735312299813,0.22223022988537258,17116.173350714183,3.0721982002717234,0.0021282218010223327,0.24714126259206898,1.118329362007557,subgroup_effect_estimate,nominal_95pct_unadjusted
womens,No,Womens E-Mail,No E-Mail,9622,9638,0.9737809187279153,0.6954264370201286,0.27835448170778665,0.20506311079709888,18284.928287851766,1.3574088514789304,0.17466809037325362,-0.12358843645917944,0.6802973998747528,subgroup_effect_estimate,nominal_95pct_unadjusted
womens,Yes,Mens E-Mail,No E-Mail,11749,11668,1.4587811728657758,0.6175702776825506,0.8412108951832252,0.19145931475316794,19432.749528201457,4.393679650779729,1.1203784120290433e-05,0.4659341597547651,1.2164876306116854,subgroup_effect_estimate,nominal_95pct_unadjusted
womens,Yes,Womens E-Mail,No E-Mail,11765,11668,1.1617841053973652,0.6175702776825506,0.5442138277148146,0.16726646078930693,21690.118417960326,3.253574118485834,0.0011413734584142018,0.216359293632725,0.8720683617969043,subgroup_effect_estimate,nominal_95pct_unadjusted
newbie,No,Mens E-Mail,No E-Mail,10621,10611,1.5133170134638925,0.9353501083780982,0.5779669050857943,0.22264348682288812,19998.066641354126,2.5959299925335984,0.009440424495721855,0.14156727685908765,1.014366533312501,subgroup_effect_estimate,nominal_95pct_unadjusted
newbie,No,Womens E-Mail,No E-Mail,10624,10611,1.0493072289156626,0.9353501083780982,0.11395712053756446,0.1986901016040254,21166.66335387962,0.5735420114922107,0.5662838556814719,-0.2754905922994947,0.5034048333746236,subgroup_effect_estimate,nominal_95pct_unadjusted
newbie,Yes,Mens E-Mail,No E-Mail,10686,10695,1.3324677147669848,0.37244787283777464,0.9600198419292101,0.18685151827383872,15465.364635964543,5.137875521687016,2.8124216314196146e-07,0.5937689318257573,1.3262707520326629,subgroup_effect_estimate,nominal_95pct_unadjusted
newbie,Yes,Womens E-Mail,No E-Mail,10763,10695,1.1047356684939145,0.37244787283777464,0.7322877956561398,0.1689258432431204,16759.108830237554,4.334966051359123,1.4663264622056562e-05,0.40117531349549407,1.0634002778167855,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Phone,Mens E-Mail,No E-Mail,9240,9327,1.2085270562770565,0.6444526643079231,0.5640743919691333,0.2055719893237045,16918.320511192098,2.7439263190711847,0.00607731323259032,0.1611318695232567,0.96701691441501,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Phone,Womens E-Mail,No E-Mail,9454,9327,0.8769261688174319,0.6444526643079231,0.23247350450950877,0.17942853576952061,18647.543572250688,1.2956328463167388,0.19511804469875108,-0.11922279108584893,0.5841698001048665,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Web,Mens E-Mail,No E-Mail,9490,9373,1.5218345626975762,0.6713858956577403,0.8504486670398359,0.23125845884025434,15954.112596462612,3.677481339730356,0.00023632177099869604,0.3971560274218549,1.303741306657817,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Web,Womens E-Mail,No E-Mail,9354,9373,1.087702587128501,0.6713858956577403,0.4163166914707608,0.19987893605073867,17688.458772738883,2.082844244103241,0.037279752498983895,0.024534367161946458,0.8080990157795751,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Multichannel,Mens E-Mail,No E-Mail,2577,2606,1.824870003880481,0.6157405986185724,1.2091294052619086,0.4173863409053573,3901.6953344585554,2.896906982243771,0.0037895856589336774,0.3908133568197302,2.027445453704087,subgroup_effect_estimate,nominal_95pct_unadjusted
channel,Multichannel,Womens E-Mail,No E-Mail,2579,2606,1.7732764637456377,0.6157405986185724,1.1575358651270653,0.4585053376898443,3655.566927720652,2.5245853646093863,0.011625472703167513,0.25858427374935367,2.056487456504777,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Surburban,Mens E-Mail,No E-Mail,9501,9625,1.4732901799810545,0.669442077922078,0.8038481020589765,0.22943876149340856,16604.531773858176,3.503540974623287,0.00046032414511103963,0.35412361086145067,1.2535725932565023,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Surburban,Womens E-Mail,No E-Mail,9650,9625,0.8466134715025907,0.669442077922078,0.1771713935805127,0.1891658924903792,19114.4411913133,0.9365926978063631,0.3489799425355112,-0.19361042142596413,0.5479532085869896,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Rural,Mens E-Mail,No E-Mail,3243,3139,1.5226364477335799,0.7671360305829882,0.7555004171505917,0.3594787986267865,5282.265764715196,2.1016550072955975,0.0356307473725496,0.05077343995186423,1.4602273943493191,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Rural,Womens E-Mail,No E-Mail,3181,3139,1.2819773656082991,0.7671360305829882,0.5148413350253109,0.3236710776550377,5655.69301572256,1.5906312629329789,0.11174847457671437,-0.11967811188763311,1.149360781938255,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Urban,Mens E-Mail,No E-Mail,8563,8542,1.328512203666939,0.5920053851557012,0.7365068185112378,0.21710426242975345,14691.493638779031,3.3924106798665132,0.0006946326294116112,0.3109552240659943,1.1620584129564813,subgroup_effect_estimate,nominal_95pct_unadjusted
zip_code,Urban,Womens E-Mail,No E-Mail,8556,8542,1.2611407199625992,0.5920053851557012,0.669135334806898,0.2147342223082235,14815.061808689781,3.1161094287357693,0.0018360443199288627,0.24822960561856472,1.0900410639952314,subgroup_effect_estimate,nominal_95pct_unadjusted
