group,rank,term,term_count,term_per_million,group_tfidf,product_count
$200+,31,bluetooth,9592,2245.3020589035987,0.009308736480448714,587
$200+,32,audio,9144,2140.4339060273674,0.009264950016355054,587
$200+,33,cancelling,9017,2110.7056573325426,0.009252146566864993,587
$200+,34,cancellation,8701,2036.7361566430582,0.009219489709466752,587
$200+,35,listening,8642,2022.9253954383757,0.009213261181576638,587
$200+,36,head,8554,2002.3262939805447,0.009203891712602249,587
$200+,37,noise cancelling,8358,1956.4464770971936,0.009182672146606268,587
$200+,38,noise cancellation,8094,1894.6491727236998,0.009153290342623256,587
$200+,39,amazing,8083,1892.074285041471,0.009152045396041444,587
$200+,40,set,8014,1875.9227168529442,0.009144197328045002,587
$200+,41,little,7983,1868.6662152030262,0.009140649360461514,587
$200+,42,right,7928,1855.791776791882,0.009134320538273722,587
$200+,43,fit,7711,1804.9962652424572,0.009108914638596446,587
$200+,44,volume,7695,1801.2509740683063,0.009107013182966093,587
$200+,45,long,7552,1767.7774341993304,0.009089841205013357,587
$200+,46,app,7543,1765.6707079138705,0.009088749600320486,587
$200+,47,headset,7540,1764.968465818717,0.009088385442635152,587
$200+,48,case,7289,1706.2142105242215,0.00905739275158709,587
$200+,49,got,7159,1675.7837197342435,0.009040918591176197,587
$200+,50,bit,7124,1667.590895290788,0.009036432114359234,587
$200+,51,hours,7104,1662.909281323099,0.009033858506490652,587
$200+,52,want,7095,1660.802555037639,0.009032698018210276,587
$200+,53,way,7035,1646.7577131345722,0.009024923604469316,587
$200+,54,years,6976,1632.94695192989,0.009017213834933115,587
$200+,55,life,6932,1622.6474012009744,0.009011421610331385,587
$200+,56,new,6780,1587.0671350465389,0.008991125326681972,587
$200+,57,sounds,6638,1553.8276758759475,0.008971748943196356,587
$200+,58,wear,6579,1540.0169146712653,0.008963576009853622,587
$200+,59,excellent,6503,1522.2267815940475,0.008952939472148638,587
$200+,60,need,6406,1499.5209538507563,0.008939181853785639,587
$200+,61,nice,6401,1498.3505503588342,0.00893846706362212,587
$200+,62,did,6398,1497.6483082636807,0.008938037921470698,587
$200+,63,worth,6352,1486.8805961379962,0.00893143242474264,587
$200+,64,feel,6342,1484.5397891541518,0.008929990118290335,587
$200+,65,say,6310,1477.0492068058493,0.00892535940735542,587
$200+,66,make,6101,1428.1263408435004,0.008894524935164367,587
$200+,67,think,6043,1414.5496603372026,0.008885780626331325,587
$200+,68,listen,6020,1409.1658042743604,0.008882289794037549,587
$200+,69,tried,6011,1407.0590779889003,0.008880920184365862,587
$200+,70,lot,5935,1389.2689449116824,0.008869272143335404,587
$200+,71,cable,5928,1387.6303800229914,0.008868191805688081,587
$200+,72,day,5853,1370.074327644158,0.008856536036867492,587
$200+,73,high,5822,1362.8178259942401,0.008851674632176131,587
$200+,74,recommend,5782,1353.4545980588625,0.008845363461257274,587
$200+,75,far,5669,1327.00347914142,0.00882729566946941,587
$200+,76,pretty,5528,1293.9981006692135,0.008804239012270116,587
$200+,77,canceling,5493,1285.8052762257576,0.008798424618336685,587
$200+,78,works,5463,1278.7828552742242,0.008793411288633224,587
$200+,79,battery life,5458,1277.612451782302,0.008792573057903557,587
$200+,80,comfort,5453,1276.44204829038,0.008791734058930053,587
$200+,81,does,5424,1269.653708037231,0.008786852642608282,587
$200+,82,issue,5365,1255.8429468325487,0.0087768404061378,587
$200+,83,people,5342,1250.4590907697063,0.00877290747219708,587
$200+,84,can't,5297,1239.9254593424064,0.00876516338480502,587
$200+,85,wireless,5218,1221.4330841700353,0.008751407708852818,587
$200+,86,problem,5191,1215.1129053136551,0.008746658604853587,587
$200+,87,noise canceling,5080,1189.1299477929817,0.008726871461115029,587
$200+,88,buds,5044,1180.703042651142,0.008720361054027789,587
$200+,89,clear,5011,1172.978379604455,0.008714352231533726,587
$200+,90,overall,4879,1142.0797274177085,0.008689914584927986,587
$200+,91,thing,4756,1113.2878015164215,0.008666540590460564,587
$200+,92,going,4716,1103.924573581044,0.008658808857709283,587
$200+,93,easy,4610,1079.1120195522926,0.008637998233472352,587
$200+,94,charge,4602,1077.239373965217,0.008636408251803153,587
$200+,95,know,4563,1068.1102267282236,0.008628617296556887,587
$200+,96,turn,4535,1061.5559671734593,0.008622982614435165,587
$200+,97,money,4535,1061.5559671734593,0.008622982614435165,587
$200+,98,calls,4515,1056.8743532057704,0.008618936500816635,587
$200+,99,working,4451,1041.8931885091658,0.008605867434364754,587
$200+,100,left,4442,1039.7864622237057,0.008604014541470126,587
$25-49,1,sound,283256,15363.7589160798,0.008529856755982425,3089
$25-49,2,great,214425,11630.376781358245,0.008354659973374973,3089
$25-49,3,good,183314,9942.921251243584,0.008256008242119571,3089
$25-49,4,quality,170377,9241.220496105743,0.008209950334450728,3089
$25-49,5,ear,137412,7453.204310504835,0.008074627920900444,3089
$25-49,6,like,100372,5444.160794210049,0.007876958551255215,3089
$25-49,7,sound quality,98685,5352.658191294571,0.007866291389750677,3089
$25-49,8,battery,94055,5101.527751757723,0.007836050571425834,3089
$25-49,9,just,92691,5027.544615790496,0.007826857267250239,3089
$25-49,10,price,92349,5008.994591962936,0.007824530988116377,3089
$25-49,11,pair,86575,4695.813780324543,0.0077838997692100875,3089
$25-49,12,work,85438,4634.143087073269,0.007775580094159958,3089
$25-49,13,ears,72811,3949.2566810188887,0.0076749369291087026,3089
$25-49,14,noise,70947,3848.153627175112,0.007658616218265616,3089
$25-49,15,really,70291,3812.5722949210794,0.007652770252770954,3089
$25-49,16,phone,65977,3578.5816434822104,0.007612910715220708,3089
$25-49,17,fit,65701,3563.611448814355,0.0076102725782458,3089
$25-49,18,love,65590,3557.590827045761,0.007609208462252781,3089
$25-49,19,comfortable,65188,3535.7864130730154,0.007605339508183574,3089
$25-49,20,life,64136,3478.726105860755,0.007595100755920801,3089
$25-49,21,case,63695,3454.806338293639,0.007590758604437904,3089
$25-49,22,time,61137,3316.0608384372117,0.0075649635615568,3089
$25-49,23,music,60161,3263.1227587421868,0.007554835964948361,3089
$25-49,24,buds,59278,3215.2289837722005,0.007545530816593005,3089
$25-49,25,battery life,58667,3182.0884441270573,0.007539010534207555,3089
$25-49,26,charge,54457,2953.73873560651,0.007492147672115559,3089
$25-49,27,better,52178,2830.1261499251978,0.00746524400180483,3089
$25-49,28,don't,51429,2789.500512946127,0.007456144845417967,3089
$25-49,29,easy,48647,2638.6052898810053,0.007421147110284107,3089
$25-49,30,bass,46338,2513.3655091271,0.007390544722198475,3089
$25-49,31,i'm,46315,2512.117992904779,0.007390232280346444,3089
$25-49,32,bluetooth,44908,2435.8025440001684,0.007370817832964225,3089
$25-49,33,hear,44713,2425.225776028314,0.007368079247141238,3089
$25-49,34,volume,41866,2270.804963639241,0.007326676195232971,3089
$25-49,35,long,41630,2258.0043624015098,0.00732311866717992,3089
$25-49,36,right,41342,2242.3832897046177,0.007318749853558323,3089
$25-49,37,i've,41316,2240.973053975037,0.007318353950083247,3089
$25-49,38,recommend,39680,2152.236682682967,0.007292927856350069,3089
$25-49,39,it's,39285,2130.811947560493,0.007286631824408384,3089
$25-49,40,charging,38146,2069.032774637713,0.007268116086377527,3089
$25-49,41,set,38039,2063.229112212132,0.007266348358398964,3089
$25-49,42,working,38031,2062.7951935261067,0.007266215992102803,3089
$25-49,43,got,37638,2041.478938075139,0.007259678979757973,3089
$25-49,44,nice,37408,2029.0037758519263,0.007255821510344599,3089
$25-49,45,little,36152,1960.8785421460339,0.007234328810527296,3089
$25-49,46,far,34749,1884.780052584436,0.007209419434417648,3089
$25-49,47,best,31962,1733.6136303405492,0.007156806416145662,3089
$25-49,48,pretty,31921,1731.389797074672,0.007155998624312803,3089
$25-49,49,amorno,172,9.329251749533023,0.00714670610889626,3089
$25-49,50,works,31424,1704.432598705382,0.007146123244578704,3089
$25-49,51,months,29780,1615.262308727287,0.007112306847576104,3089
$25-49,52,great sound,29496,1599.8581953734072,0.00710627648231645,3089
$25-49,53,stay,29438,1596.7122848997274,0.007105037791096112,3089
$25-49,54,hours,29181,1582.772647111181,0.007099519579557984,3089
$25-49,55,wireless,29135,1580.2776146665383,0.0070985267583656645,3089
$25-49,56,ear buds,29005,1573.2264360186355,0.007095712461590598,3089
$25-49,57,day,28936,1569.4838873516717,0.007094213590945998,3089
$25-49,58,headset,28559,1549.0354692727533,0.00708596046750939,3089
$25-49,59,amazing,28188,1528.9124902083536,0.007077731638561131,3089
$25-49,60,wear,27296,1480.5305567165894,0.0070574951406797756,3089
$25-49,61,left,27221,1476.462569035107,0.0070557636090364155,3089
$25-49,62,head,26639,1444.8949846268035,0.00704216249805688,3089
$25-49,63,way,25904,1405.0287053482757,0.007024554837887596,3089
$25-49,64,listening,25861,1402.6963924108923,0.007023509315873695,3089
$25-49,65,excellent,25751,1396.7300104780516,0.0070208267926006205,3089
$25-49,66,tried,25594,1388.214356264815,0.0070169781844779434,3089
$25-49,67,clear,24739,1341.8392966959152,0.006995595810538515,3089
$25-49,68,did,24497,1328.7132564436654,0.00698940942553145,3089
$25-49,69,money,24176,1311.3022691669205,0.006981108547011037,3089
$25-49,70,audio,23939,1298.4474280934362,0.0069749088250567965,3089
$25-49,71,calls,23375,1267.8561607286883,0.006959904693809419,3089
$25-49,72,sounds,22993,1247.1365434710046,0.006949535245065013,3089
$25-49,73,need,22657,1228.9119586579632,0.006940271060841046,3089
$25-49,74,overall,22555,1223.3794954111472,0.0069374315205589475,3089
$25-49,75,different,22500,1220.3963044447266,0.006935895062337773,3089
$25-49,76,perfect,22331,1211.2297722024532,0.0069311503358770845,3089
$25-49,77,small,21893,1187.4727241425958,0.006918684220721851,3089
$25-49,78,bit,21871,1186.2794477560276,0.006918051508021,3089
$25-49,79,can't,21718,1177.9807528858032,0.006913633595084115,3089
$25-49,80,definitely,21469,1164.4750337832816,0.006906376681237705,3089
$25-49,81,sound great,21454,1163.6614362469852,0.006905936833813752,3089
$25-49,82,listen,21419,1161.7630419956267,0.006904909326051861,3089
$25-49,83,happy,21042,1141.3146239167086,0.006893733918015802,3089
$25-49,84,want,20871,1132.0396120029284,0.006888598797776628,3089
$25-49,85,good sound,20694,1122.43916107463,0.006883238993251053,3089
$25-49,86,purchase,20140,1092.3902920674132,0.006866161845607899,3089
$25-49,87,say,20127,1091.6851742026229,0.006865755500592124,3089
$25-49,88,new,20089,1089.624060444005,0.006864566216258389,3089
$25-49,89,issue,19976,1083.4949590039048,0.006861016323017253,3089
$25-49,90,loud,19872,1077.8540160855825,0.006857731373944089,3089
$25-49,91,connect,19768,1072.2130731672603,0.006854429187925049,3089
$25-49,92,cancellation,19291,1046.3406715130322,0.006839057565974237,3089
$25-49,93,looking,19261,1044.7134764404393,0.006838078131754453,3089
$25-49,94,feel,19260,1044.659236604686,0.006838045457680202,3089
$25-49,95,they're,19082,1035.0045458406344,0.006832202278503159,3089
$25-49,96,worked,19074,1034.5706271546098,0.0068319383854258085,3089
$25-49,97,problem,19067,1034.190948304338,0.006831707388173592,3089
$25-49,98,lot,19019,1031.587436188189,0.0068301211187659855,3089
$25-49,99,does,18977,1029.309363086559,0.006828729845523602,3089
$25-49,100,make,18740,1016.4545220130747,0.00682082091492448,3089
$50-99,1,sound,147914,15080.176328586638,0.009285655923965791,1634
$50-99,2,great,92063,9386.036976477357,0.008944464410034388,1634
$50-99,3,good,85046,8670.637505854611,0.008887416010174367,1634
$50-99,4,quality,81064,8264.66334424427,0.008852910065955625,1634
$50-99,5,ear,65991,6727.9359364208985,0.00870487895189103,1634
$50-99,6,like,54293,5535.297628405386,0.008564473543082943,1634
$50-99,7,noise,52789,5381.961330298416,0.008544258943192787,1634
$50-99,8,just,50335,5131.770322615901,0.008510005673607534,1634
$50-99,9,sound quality,43882,4473.871963783271,0.008411282730060608,1634
$50-99,10,work,40963,4176.273124571673,0.008361750885200058,1634
$50-99,11,pair,40921,4171.991126885175,0.008361012716704275,1634
$50-99,12,price,38418,3916.8044552350784,0.008315595188011723,1634
$50-99,13,battery,37395,3812.5072258710957,0.00829617454794191,1634
$50-99,14,really,36893,3761.32715828486,0.008286449384953093,1634
$50-99,15,music,35917,3661.82168823672,0.008267156817461258,1634
$50-99,16,ears,35879,3657.9474998536984,0.008266395109288371,1634
$50-99,17,comfortable,33170,3381.758649074589,0.008209904037586967,1634
$50-99,18,bass,32849,3349.031952470641,0.008202906508049812,1634
$50-99,19,better,32020,3264.513474325244,0.008184513777900467,1634
$50-99,20,time,30813,3141.457017001366,0.0081568648605862,1634
$50-99,21,fit,30019,3060.5068702613835,0.008138079553501518,1634
$50-99,22,don't,29892,3047.558924876021,0.00813502882871933,1634
$50-99,23,buds,28453,2900.8495279505364,0.008099527021621597,1634
$50-99,24,phone,28134,2868.3267359983265,0.008091413977445507,1634
$50-99,25,hear,27739,2828.055567280073,0.008081239606497294,1634
$50-99,26,love,26537,2705.50887158554,0.008049362941683348,1634
$50-99,27,i'm,26368,2688.2789285136796,0.00804476570683321,1634
$50-99,28,life,26044,2655.2463749321255,0.008035869086910254,1634
$50-99,29,case,24562,2504.1530279942735,0.007993711512200624,1634
$50-99,30,i've,24287,2476.1161383802996,0.0079856096130787,1634
$50-99,31,volume,23646,2410.764697498273,0.007966362990225198,1634
$50-99,32,it's,23308,2376.3048113545533,0.007956003059925082,1634
$50-99,33,battery life,22743,2318.7017472385705,0.00793834526769947,1634
$50-99,34,right,22357,2279.348149453138,0.007926027653577685,1634
$50-99,35,set,20492,2089.207061707461,0.007863349262012402,1634
$50-99,36,bluetooth,20427,2082.580160525976,0.007861063168782831,1634
$50-99,37,best,19995,2038.53675575057,0.007845682057591457,1634
$50-99,38,long,19588,1997.0421591218885,0.007830883948118742,1634
$50-99,39,charge,19134,1950.7558031773647,0.00781400974778308,1634
$50-99,40,got,19122,1949.5323752669365,0.007813558321408951,1634
$50-99,41,little,19029,1940.05080896112,0.007810050131379192,1634
$50-99,42,headset,18138,1849.2112866118448,0.007775543017232487,1634
$50-99,43,head,17976,1832.6950098210677,0.007769087254491245,1634
$50-99,44,recommend,17959,1830.9618202812946,0.007768406427865531,1634
$50-99,45,nice,17526,1786.8164631800194,0.00775084459375759,1634
$50-99,46,easy,17481,1782.2286085159146,0.007748994630573678,1634
$50-99,47,audio,17084,1741.7535351459235,0.007732464424373016,1634
$50-99,48,working,16980,1731.1504932555479,0.00772807058403332,1634
$50-99,49,hours,16545,1686.8012315025346,0.0077093960371863324,1634
$50-99,50,pretty,16133,1644.7968732445083,0.007691250493389109,1634
$50-99,51,works,15554,1585.7664765663599,0.007664950780423992,1634
$50-99,52,wear,15442,1574.3478160690322,0.007659750587119746,1634
$50-99,53,listening,15127,1542.2328334202987,0.007644920287630768,1634
$50-99,54,way,15091,1538.5625496890148,0.007643205768969117,1634
$50-99,55,left,14998,1529.0809833831981,0.007638757594588986,1634
$50-99,56,months,14951,1524.2892240673555,0.007636499089279836,1634
$50-99,57,amazing,14583,1486.770768147565,0.007618566076723485,1634
$50-99,58,day,14555,1483.916103023233,0.007617183135720604,1634
$50-99,59,did,14384,1466.4822552996347,0.007608679143142944,1634
$50-99,60,tried,14333,1461.2826866803161,0.0076061232847289715,1634
$50-99,61,charging,13927,1419.8900423775037,0.00758544621533686,1634
$50-99,62,far,13899,1417.0353772531719,0.0075839980684189005,1634
$50-99,63,want,13580,1384.5125853009622,0.007567290451974636,1634
$50-99,64,excellent,13460,1372.2783061966827,0.007560903661968043,1634
$50-99,65,bit,13444,1370.6470689827788,0.007560047790779708,1634
$50-99,66,need,13168,1342.508227042936,0.007545121483892359,1634
$50-99,67,sounds,13062,1331.7012805008223,0.007539305607521974,1634
$50-99,68,cancellation,12915,1316.71428859808,0.007531161599301311,1634
$50-99,69,new,12829,1307.9463885733464,0.007526353988888111,1634
$50-99,70,app,12418,1266.0439826411891,0.007502923808204532,1634
$50-99,71,clear,12396,1263.8010314720711,0.007501647865291931,1634
$50-99,72,feel,12303,1254.3194651662548,0.0074962289687680785,1634
$50-99,73,wireless,12203,1244.124232579355,0.0074903563040262956,1634
$50-99,74,overall,12191,1242.900804668927,0.007489648352554815,1634
$50-99,75,money,12152,1238.9246639600362,0.007487342688087484,1634
$50-99,76,can't,12134,1237.0895220943944,0.0074862760383737886,1634
$50-99,77,noise cancellation,12115,1235.1524279028836,0.007485148412367247,1634
$50-99,78,say,11879,1211.0916789978005,0.007470992802619704,1634
$50-99,79,make,11822,1205.2803964232676,0.007467531701802714,1634
$50-99,80,stay,11705,1193.3519742965952,0.007460374749602973,1634
$50-99,81,listen,11668,1189.5797382394423,0.007458096544318246,1634
$50-99,82,great sound,11548,1177.3454591351629,0.007450657743231272,1634
$50-99,83,issue,11535,1176.020078898866,0.0074498472369706565,1634
$50-99,84,does,11502,1172.6556521451892,0.0074477856885402805,1634
$50-99,85,calls,11431,1165.4170370084905,0.007443330110114107,1634
$50-99,86,lot,11364,1158.5862311752676,0.00743910009729035,1634
$50-99,87,think,11292,1151.2456637127,0.00743452652076993,1634
$50-99,88,loud,11255,1147.4734276555473,0.007432164854231651,1634
$50-99,89,problem,11227,1144.6187625312152,0.007430372480627284,1634
$50-99,90,different,11039,1125.451725267844,0.007418220944221258,1634
$50-99,91,cancelling,10812,1102.308547295582,0.007403269766931277,1634
$50-99,92,perfect,10754,1096.3953123951803,0.007399399288363539,1634
$50-99,93,they're,10723,1093.2347902932415,0.007397322015223804,1634
$50-99,94,years,10607,1081.408320492438,0.007389495352077315,1634
$50-99,95,going,10555,1076.1067995472501,0.00738595902248829,1634
$50-99,96,ear buds,10532,1073.7618960522632,0.007384389316057921,1634
$50-99,97,looking,10523,1072.8443251194424,0.007383774149784326,1634
$50-99,98,worth,10383,1058.5709994977829,0.007374136551746705,1634
$50-99,99,didn't,10132,1032.9809657046649,0.007356527778571658,1634
$50-99,100,noise cancelling,10083,1027.985301737084,0.007353039361428303,1634
<$25,1,sound,324170,15777.815341300815,0.008482154989934283,5170
<$25,2,great,264323,12864.976661809096,0.008355690463827316,5170
<$25,3,good,216734,10548.75229102474,0.00823269289225035,5170
<$25,4,quality,201001,9783.004785812398,0.00818599687022503,5170
<$25,5,ear,162439,7906.13735455336,0.008054010738262979,5170
<$25,6,price,129106,6283.7727965388,0.007911700648607859,5170
<$25,7,like,112511,5476.070524308529,0.00782644997623011,5170
<$25,8,sound quality,110824,5393.9618329404975,0.007817088802847963,5170
<$25,9,work,106687,5192.608154108522,0.007793515501501525,5170
<$25,10,just,104112,5067.279238712744,0.007778376611792492,5170
<$25,11,pair,103072,5016.660958319886,0.0077721558365751245,5170
<$25,12,ears,93813,4566.012248553084,0.007713833400496719,5170
<$25,13,comfortable,86571,4213.533799894354,0.007664053073740079,5170
<$25,14,fit,83760,4076.7184285632725,0.007643599447447526,5170
<$25,15,love,81486,3966.0396116273496,0.007626544489344803,5170
<$25,16,really,80062,3896.731504627898,0.00761562044668811,5170
<$25,17,battery,67167,3269.113499179911,0.007506801146287014,5170
<$25,18,buds,66342,3228.959574829807,0.007499143193779128,5170
<$25,19,noise,64928,3160.1381820649017,0.007485793710451699,5170
<$25,20,phone,64204,3124.9000714837193,0.007478845499831177,5170
<$25,21,satellite speakers,253,12.313870134031854,0.007478409050091289,5170
<$25,22,time,63677,3099.250231323108,0.007473738441887571,5170
<$25,23,don't,62574,3045.565651252605,0.007462911259046509,5170
<$25,24,music,61338,2985.4077718626313,0.007450549415478646,5170
<$25,25,better,55857,2718.639699907578,0.007392548961410021,5170
