product_id,label,confidence,form_factor,taxonomy_device_evidence,taxonomy_accessory_evidence,title_device_evidence,title_accessory_evidence,conflict,reason,title,store,leaf_categories,l3_categories,rating_number,gold_label,gold_form_factor,reviewer_note
B00O7UJY10,DEVICE,0.98,EARBUD_INEAR,2,0,0,0,0,taxonomy_device=2,Bluetooth Wireless Audio Headphones with Built in Mic for Phone Calls and Web Chats.,Westinghouse,Earbud Headphones,Headphones & Earbuds,77,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：细分类目为 Earbud Headphones。
B088M68HFK,DEVICE,0.985,EARBUD_INEAR,2,0,3,1,1,taxonomy_device=2;title_device=3;title_accessory=1;conflict,"Wireless Earbuds, HSPRO Bluetooth Earbuds Touch Control in-Ear True Wireless Bluetooth Headphones, 20 Hrs Playtime with Charging Case, Hi-Fi Stereo Earbuds with Built-in Mic for Sports Work, White",Hspro,Earbud Headphones,Headphones & Earbuds,14443,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B072WT838T,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,"Samsung Galaxy S8 Case 5.8 inch Dual Layer Hard Armor Cases, Card Slot Holder Wallet Case with Kickstand, Blue",Eclipse Legend,Headphones & Earbuds,Headphones & Earbuds,11,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；结合标题的兼容/替换关系判定；判为 ACCESSORY。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B0BNL5VP5F,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,2,0,taxonomy_accessory=2;title_accessory=2,"Aulumu A19 for AirPods Pro Case [2nd/1st Generation] with Lock, Full-Body Protective Tough Cover with Keychain Compatible with Apple Airpods Pro(2022/2019) Case for Men Women, Cool Design",Aulumu,Cases,Cases,42,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B0BVZLQ7QW,DEVICE,0.98,EARBUD_INEAR,2,0,0,0,0,taxonomy_device=2,-,ANGIEHAIE,Earbud Headphones,Headphones & Earbuds,46,AMBIGUOUS,NOT_APPLICABLE,needs_review: 标题“-”未描述完整耳机或明确耳机配件，且与类目“Earbud Headphones”不一致/信息残缺；保留 AMBIGUOUS，不强行归类。 原自动标签为 DEVICE，本次以商品主体语义和类目复核后更正。
B0105VDCZ8,DEVICE,0.995,OVER_EAR,2,0,1,0,0,taxonomy_device=2;title_device=1,Bose QuietComfort 25 Acoustic Noise Cancelling Headphones for Apple devices - White (Wired 3.5mm),Bose,Over-Ear Headphones,Headphones & Earbuds,13731,DEVICE,OVER_EAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Over-Ear Headphones；判为 DEVICE；形态依据：细分类目为 Over-Ear Headphones。
B0B6F19V87,AMBIGUOUS,0.6,NOT_APPLICABLE,0,0,1,0,0,title_device=1,SplashNColor Cat Ear Headphone Super Cute Add Ons Attachment | Cat Ears Headphone Accessories for Gaming or Wireless Bluetooth Headset | Adjustable Straps - Universal Fit,splash n color,Headphones & Earbuds,Headphones & Earbuds,144,DEVICE,OVER_EAR,标题描述可独立使用的完整耳机/耳塞设备，并含连接、声学或供电功能信息；判为 DEVICE；形态依据：标题语义为带耳罩的游戏/办公/监听头戴式耳机。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B08W24RM1S,ACCESSORY,0.98,NOT_APPLICABLE,0,2,0,0,0,taxonomy_accessory=2,"Pizen BT35 Wireless Bluetooth Cable,Support aptX-HD/aptX/AAC,Silver Plated MMCX Cable Type C for Charging, 22H Playtime, with Mic,Special for HiFi/Audiophiles/Musicians",Pizen,Extension Cords,Extension Cords,1,ACCESSORY,NOT_APPLICABLE,标题明确为线缆/转接配件，不是可独立使用的完整耳机；细分类目 Extension Cords 与此一致；判为 ACCESSORY。
B082SY2YV7,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,"HALLEAST for Galaxy Buds Case Cover, Galaxy Buds+ Plus Carrying Case TPU Full Protective Skin with Keychain for Galaxy Buds Wireless 2019 2020 Earbuds Accessories, Black",HALLEAST,Cases,Cases,15776,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B071HW5X3C,AMBIGUOUS,0.5,NOT_APPLICABLE,2,0,1,2,1,taxonomy_device=2;title_device=1;title_accessory=2;conflict,QearFun Stereo 3.5mm in Ear Cat Earphones Earbuds with Microphone with Earphone Storage Case for Smartphone MP3 iPod PC Music (Blue),QearFun,Earbud Headphones,Headphones & Earbuds,2911,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B09NQJB586,ACCESSORY,0.995,NOT_APPLICABLE,0,2,1,1,1,taxonomy_accessory=2;title_device=1;title_accessory=1;conflict,"HUTNUOY 2Pcs Bluetooth Earbuds Cleaning Pen, Cleaner Kit for Airpods Pro 3 in 1 Multi-fuction Earphone Brush for Charging Case Mobile Phone Camera",HUTNUOY,Cases,Cases,86,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B07KM2BW2P,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,"Airpods Case, Music tracker Protective Thicken Airpods Cover Soft Silicone Chargeable Headphone Case with Anti-Lost Carabiner for Apple Airpods 1&2 Charging Case (Black)",Music tracker,Cases,Cases,20858,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B000NHZOZG,AMBIGUOUS,0.6,NOT_APPLICABLE,0,0,1,0,0,title_device=1,Nokia BH-301-LT Bluetooth Headset,Nokia,Headphones & Earbuds,Headphones & Earbuds,2,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，并含连接、声学或供电功能信息；判为 DEVICE；形态依据：标题语义为手机用单耳/免提蓝牙耳机或有线耳麦。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B09576KDFW,AMBIGUOUS,0.6,NOT_APPLICABLE,2,0,1,1,1,taxonomy_device=2;title_device=1;title_accessory=1;conflict,"SGNics Wireless Earbuds for LG Stylo 6, Touch Control with Charging Case IPX5 Sweat-Proof TWS Stereo Earphones Hi-Fi Deep Bass Noise Cancellation Outdoor Indoor Sport-White",SGNics,Earbud Headphones,Headphones & Earbuds,43,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B087XVF858,AMBIGUOUS,0.6,NOT_APPLICABLE,2,0,1,1,1,taxonomy_device=2;title_device=1;title_accessory=1;conflict,Skinit Decal Audio Skin Compatible with Bose Noise Cancelling Headphones 700 - Skinit Originally Designed White Carbon Fiber Design,Skinit,Earbud Headphones,Headphones & Earbuds,2,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；结合标题的兼容/替换关系判定；判为 ACCESSORY。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B07Y545SQ9,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,2,0,taxonomy_accessory=2;title_accessory=2,"UGREEN Headphone Splitter 3.5mm Audio Stereo Y Splitter Extension Cable Male to Female Dual Headphone Jack Adapter for Earphone Headset Compatible with iPhone Samsung Tablet Laptop, White",UGREEN,Adapters,Adapters,22376,ACCESSORY,NOT_APPLICABLE,标题明确为线缆/转接配件，不是可独立使用的完整耳机；细分类目 Adapters 与此一致；判为 ACCESSORY。
B004R90HS0,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,STRING SWING CRADLE FOR VIOLIN CC04V,String Swing,Headphones & Earbuds,Headphones & Earbuds,1,AMBIGUOUS,NOT_APPLICABLE,needs_review: 标题“STRING SWING CRADLE FOR VIOLIN CC04V”未描述完整耳机或明确耳机配件，且与类目“Headphones & Earbuds”不一致/信息残缺；保留 AMBIGUOUS，不强行归类。
B0872WMQW3,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,2,0,taxonomy_accessory=2;title_accessory=2,"AirPods Pro Case, KMMIN Protective Silicone Case Cover for AirPods 3rd Gen Shockproof Scratch-Resistant Unique Twill Texture AirPods Pro Accessories with Hook Anti-Lost Grips Lanyard Storage Case",KMMIN,Cases,Cases,526,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B0BNZZ3PYK,DEVICE,0.995,EARBUD_INEAR,2,0,1,0,0,taxonomy_device=2;title_device=1,"Wireless Osteoconductive Bluetooth Headphones - Ear Hook Earbuds with Waterproof Sweat Proof/Co-nduction Open Timbre/Noise Reduction/Split Key & Non Ear Design, Suitable for Sports Business",MUMICO,Earbud Headphones,Headphones & Earbuds,2,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B0C4T871PL,ACCESSORY,0.94,NOT_APPLICABLE,0,2,1,0,1,taxonomy_accessory=2;title_device=1;conflict,"SOULWIT Professional Earpads Cushions Replacement for Sony WH-1000XM3 (WH1000XM3) Over-Ear Headphones, Ear Pads with Softer Protein Leather, Noise Isolation Memory Foam, Added Thickness (Gold)",SOULWIT,Earpads,Earpads,298,ACCESSORY,NOT_APPLICABLE,标题明确为替换耳垫/耳罩，不是可独立使用的完整耳机；细分类目 Earpads 与此一致；判为 ACCESSORY。
B07S3ZY1HG,DEVICE,0.955,EARBUD_INEAR,2,0,2,1,1,taxonomy_device=2;title_device=2;title_accessory=1;conflict,"Purity True Wireless Earbuds with Immersive Sound, Bluetooth 5.0 Earphones in-Ear with Charging Case Easy-Pairing Stereo Calls/Built-in Microphones/IPX5 Sweatproof/Pumping Bass for Sports,Workout,Gym",Purity,Earbud Headphones,Headphones & Earbuds,32537,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B0BFJYCF5Q,AMBIGUOUS,0.5,NOT_APPLICABLE,2,0,1,2,1,taxonomy_device=2;title_device=1;title_accessory=2;conflict,Hoseili?2022new editionBluetooth Headphones?.Bluetooth 5.0 Earphones in-Ear Stereo Sound Microphone Mini Wireless Earbuds with Portable Charging Case for iOS Android PC. XGB17,Hoseili,Earbud Headphones,Headphones & Earbuds,14,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B09LQGKZP8,ACCESSORY,0.995,NOT_APPLICABLE,0,2,1,2,1,taxonomy_accessory=2;title_device=1;title_accessory=2;conflict,"GVOEARS Replacement Ear Pads for Corsair HS70 Pro HS60 HS50, Durable Knitted Gaming Headset Noise Isolation Cushions (Grey)",G GVOEARS,Earpads,Earpads,95,ACCESSORY,NOT_APPLICABLE,标题明确为替换耳垫/耳罩，不是可独立使用的完整耳机；细分类目 Earpads 与此一致；判为 ACCESSORY。
B00PB6PHT2,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,"Parrot Minikit Neo 2 HD - Voice controlled portable Bluetooth hands-free kit with HD Voice, Green",Parrot,Headphones & Earbuds,Headphones & Earbuds,7,AMBIGUOUS,NOT_APPLICABLE,"needs_review: 标题“Parrot Minikit Neo 2 HD - Voice controlled portable Bluetooth hands-free kit with HD Voice, Green”未描述完整耳机或明确耳机配件，且与类目“Headphones & Earbuds”不一致/信息残缺；保留 AMBIGUOUS，不强行归类。"
B093T1SFC5,AMBIGUOUS,0.6,NOT_APPLICABLE,2,0,1,1,1,taxonomy_device=2;title_device=1;title_accessory=1;conflict,"PHILIPS T3215 Wireless in-Ear Earbuds, TWS Bluetooth 5.1 Stereo Headphones, IPX4, Up to 24 (6+18) hrs of Playtime with USB-C Charging case - White (TAT3215WT)",Philips,Earbud Headphones,Headphones & Earbuds,187,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B006Y3RMOE,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,Enhanced Bass Hi-Fi Noise Isolating Earphones,Lgp,Headphones & Earbuds,Headphones & Earbuds,5,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，并含连接、声学或供电功能信息；判为 DEVICE；形态依据：标题含耳塞/耳机式耳戴设备词，未出现相冲突的头戴形态描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B012VIWG28,ACCESSORY,0.995,NOT_APPLICABLE,0,2,1,1,1,taxonomy_accessory=2;title_device=1;title_accessory=1;conflict,"BRAINWAVZ Hengja - The Desk Headphone Stand Hanger Mount, All Metal, Rotatable Mount, PC & Gaming Headset Holder",BRAINWAVZ,Adapters,Adapters,4203,ACCESSORY,NOT_APPLICABLE,标题明确为支架/挂架，不是可独立使用的完整耳机；细分类目 Adapters 与此一致；判为 ACCESSORY。
B08S3H7Z72,ACCESSORY,0.94,NOT_APPLICABLE,0,2,1,0,1,taxonomy_accessory=2;title_device=1;conflict,Ear Pads Compatible with Corsair Virtuoso RGB Wireless SE Gaming Headset-Memory Foam Earcups Cushions Replacement (Black),YDYBZB,Earpads,Earpads,117,ACCESSORY,NOT_APPLICABLE,标题明确为替换耳垫/耳罩，不是可独立使用的完整耳机；细分类目 Earpads 与此一致；判为 ACCESSORY。
B01LN2W9E8,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,Elrene Patriotic Fireworks Red White and Blue Printed Polyester Fabric Tablecloth (52 x 70 Rectangle/Oblong),BBITUOGG,Headphones & Earbuds,Headphones & Earbuds,1,AMBIGUOUS,NOT_APPLICABLE,needs_review: 标题“Elrene Patriotic Fireworks Red White and Blue Printed Polyester Fabric Tablecloth (52 x 70 Rectangle/Oblong)”未描述完整耳机或明确耳机配件，且与类目“Headphones & Earbuds”不一致/信息残缺；保留 AMBIGUOUS，不强行归类。
B00IZT3GRW,AMBIGUOUS,0.6,NOT_APPLICABLE,0,0,1,0,0,title_device=1,RockIt Sounds R-50M in-Ear Monitor Balanced Armature Earphones Earbuds with Microphone,RockIt Sounds,Headphones & Earbuds,Headphones & Earbuds,1,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B09YH38TX2,AMBIGUOUS,0.5,NOT_APPLICABLE,2,0,1,2,1,taxonomy_device=2;title_device=1;title_accessory=2;conflict,Eumspo Wireless Earbuds Bluetoth V5.1 Headphones 35H Playtime Stereo Sound in-Ear Bluetoth Earbuds IPX7 Waterproof Touch Control Wireless Headphones with Charging Case for Sports Workout Running,Eumspo,Earbud Headphones,Headphones & Earbuds,88,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B088GQM6XV,AMBIGUOUS,0.5,NOT_APPLICABLE,2,0,1,2,1,taxonomy_device=2;title_device=1;title_accessory=2;conflict,"AMORNO Wireless Earbuds Bluetooth 5.0, in-Ear Deep Bass Headphones,Volume Control,IPX7 SweatProof,CVC6.0 Noise Cancelling Earphones Dual Mic with Metallic Charging Case for Workout Sports",AMORNO,Earbud Headphones,Headphones & Earbuds,1047,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B00ZK3WC62,AMBIGUOUS,0.6,NOT_APPLICABLE,1,0,0,1,1,taxonomy_device=1;title_accessory=1;conflict,SHD 3.5mm Cable Aux Cable Right Angle 1/8 Stereo Audio Cable Auxiliary Cord for Car for Phone Gold Plated Step Down Design -1.5Feet 2Pack White,SHD,"Headphones, Earbuds & Accessories",,214,ACCESSORY,NOT_APPLICABLE,标题明确为线缆/转接配件，不是可独立使用的完整耳机；结合标题的兼容/替换关系判定；判为 ACCESSORY。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B07FNL4STM,DEVICE,0.98,OVER_EAR,2,0,0,0,0,taxonomy_device=2,"Audio-Technica ATH-M40x Professional Studio Monitor Headphone, Black, with Cutting Edge Engineering, 90 Degree Swiveling Earcups, Pro-grade Earpads/Headband, Detachable Cables Included",Audio-Technica,Over-Ear Headphones,Headphones & Earbuds,14651,DEVICE,OVER_EAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：细分类目为 Over-Ear Headphones。
B000KU7YBI,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,JOVERS (2-Pack) 3.5mm Headphone Jack Adapter Cable Adapter Xs Adapter XR Headphone Jack and More (iOS 10 / iOS 12)(White) Accessories,JOVERS,Headphones & Earbuds,Headphones & Earbuds,8,ACCESSORY,NOT_APPLICABLE,标题明确为线缆/转接配件，不是可独立使用的完整耳机；结合标题的兼容/替换关系判定；判为 ACCESSORY。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B09Q57DW44,AMBIGUOUS,0.6,NOT_APPLICABLE,2,0,1,1,1,taxonomy_device=2;title_device=1;title_accessory=1;conflict,"Wireless Earbud, Bluetoth 5.2 Headphones 2022 Bluetoth Earbud with HD Mic, Wireless Earphones in Ear Ear Buds with USB-C Charging Case, IP7 Waterproof Deep Bass, Dual LED, 40H Mini Headset for Sport",Bowost,Earbud Headphones,Headphones & Earbuds,547,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B07R5HS314,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,Coffea AirPods Case Cover with Keychain Compatible with Apple AirPods 2 for Man Wonen Girls White,COFFEA,Cases,Cases,3898,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B01CHS5O94,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,Honor Engine Earphone for Honor 5X and Smart Phones- Pink,HUAWEI,Headphones & Earbuds,Headphones & Earbuds,38,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，并含连接、声学或供电功能信息；判为 DEVICE；形态依据：标题含耳塞/耳机式耳戴设备词，未出现相冲突的头戴形态描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B001FF944W,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,Motorola 89237N Motorola H620 - Headset ( over-the-ear ) - wireless - Bluetooth 2.0 - black - 1 Pack - Case - Carrier Packaging - Neutral,Motorola,Headphones & Earbuds,Headphones & Earbuds,62,DEVICE,OVER_EAR,标题描述可独立使用的完整耳机/耳塞设备，并含连接、声学或供电功能信息；判为 DEVICE；形态依据：标题明确为 over-ear/around-ear/full-size，且该形态是最先出现的主体描述。 原自动标签为 AMBIGUOUS，本次以商品主体语义和类目复核后更正。
B00UKEMG44,DEVICE,0.995,EARBUD_INEAR,2,0,1,0,0,taxonomy_device=2;title_device=1,"Hello Kitty 32109-BL-TRU Bling Headphone with Mic, Cheetah Print",Sakar,Earbud Headphones,Headphones & Earbuds,1,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：细分类目为 Earbud Headphones。
B08XJZ1F9C,DEVICE,0.955,EARBUD_INEAR,2,0,2,1,1,taxonomy_device=2;title_device=2;title_accessory=1;conflict,AMZANE Wireless Earbuds Bluetooth Headphones with Wireless Charging Case and LED Digital Display Bluetooth 5.1 HD Bass Sound Earphones Touch Control Built-in Mic Headsets 35Hrs Playtime for Sport Work,AMZANE,Earbud Headphones,Headphones & Earbuds,33,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
