brand_store,product_count,review_count,median_price,median_rating,mean_rating,median_reviews_per_product,review_share
SuperEQ,14,1274,28.99,4.2,4.1,24.5,0.00043008836053962926
Alpatronix,10,1268,39.95,3.6,3.53,129.0,0.00042806282665953677
Sound Around,9,1264,29.99,3.8,3.522222222222222,27.0,0.00042671247073947517
Marley,66,1261,64.37,3.9,3.880303030303031,8.5,0.0004256997037994289
H2O Audio,31,1257,99.99,3.5,3.480645161290323,17.0,0.0004243493478793673
OnePlus,13,1254,39.99,4.2,4.323076923076924,54.0,0.0004233365809393211
Orancu,5,1248,24.99,4.5,4.4,223.0,0.00042131104705922864
FiiO,43,1242,119.99,4.1,4.032558139534884,13.0,0.0004192855131791362
ERUN,5,1229,17.49,4.3,4.32,60.0,0.0004148968564389359
lecover,5,1229,29.99,4.1,4.1,79.0,0.0004148968564389359
NuForce,29,1227,68.97,3.5,3.451724137931034,28.0,0.0004142216784789051
NANAMI,3,1215,25.99,4.2,4.066666666666666,292.0,0.0004101706107187202
Bastex,12,1213,9.49,3.9,3.9,83.0,0.00040949543275868935
SOUL by Ludacris,13,1203,136.72,4.0,3.792307692307692,7.0,0.0004061195429585353
erjigo,46,1202,35.0,4.05,3.9369565217391305,4.0,0.0004057819539785199
coioc,9,1200,17.49,4.3,4.266666666666667,42.0,0.00040510677601848907
ElloGear,12,1197,18.95,4.15,4.083333333333333,30.5,0.00040409400907844283
pollini,5,1183,48.99,4.4,4.38,6.0,0.00039936776335822713
FSL,12,1175,,3.7,3.6916666666666664,20.5,0.00039666705151810387
Granvela,101,1169,11.99,3.5,3.495049504950495,3.0,0.00039464151763801144
SEYOO,31,1148,22.705,3.7,3.6548387096774193,10.0,0.0003875521490576879
Joseche,3,1148,18.95,3.9,4.0,34.0,0.0003875521490576879
TECNO,8,1139,28.49,4.1,4.1,25.0,0.0003845138482375492
Hntmao,7,1135,22.99,3.8,3.742857142857143,12.0,0.00038316349231748756
Nakamichi,51,1134,36.41,3.5,3.4098039215686278,9.0,0.00038282590333747215
TCJJ,11,1133,23.98,4.4,4.318181818181818,41.0,0.0003824883143574568
Aduro,17,1131,24.99,3.9,3.7764705882352945,34.0,0.00038181313639742596
LEVIN,13,1127,,3.9,3.7846153846153845,40.0,0.0003804627804773643
Mokata,20,1123,16.99,3.8,3.85,6.5,0.0003791124245573027
UliX,5,1121,17.97,4.4,4.46,8.0,0.00037843724659727187
DARKIRON,8,1110,,3.45,3.375,44.5,0.0003747237678171024
WXY,7,1110,,4.4,4.342857142857143,83.0,0.0003747237678171024
BOLOXA,6,1106,23.39,4.95,4.816666666666666,66.0,0.00037337341189704076
Rulefiss,10,1104,27.22,4.3,4.22,71.0,0.00037269823393700993
Fujimoto Dengyo,39,1099,11.49,3.3,3.382051282051282,6.0,0.0003710102890369329
SZSAGO,12,1098,23.075,3.8,3.766666666666667,61.5,0.0003706727000569175
Superlux,9,1086,47.56,4.1,3.966666666666667,4.0,0.00036662163229673263
CHENSIVE,8,1085,32.49,4.199999999999999,4.25,44.0,0.0003662840433167172
WYZE,5,1084,89.98,4.4,4.2,69.0,0.0003659464543367018
WASABI MANGO,37,1080,11.985,3.3,3.3945945945945946,11.0,0.00036459609841664014
MARSHALL,16,1079,133.45499999999998,4.0,4.03125,38.5,0.0003642585094366248
AblePlanet,57,1075,29.99,3.4,3.482456140350877,5.0,0.0003629081535165631
Audiophile,6,1075,,3.8,3.633333333333333,30.0,0.0003629081535165631
CovertSafe,24,1071,,3.3,3.3375,21.5,0.0003615577975965015
iMangoo,30,1067,14.99,4.0,4.04,8.0,0.00036020744167643986
thinksound,13,1059,399.0,3.5,3.6769230769230767,46.0,0.0003575067298363166
Kaysent,6,1057,33.98,4.0,3.9166666666666665,165.0,0.00035683155187628577
ebasy,96,1051,,4.0,3.8552083333333336,4.0,0.00035480601799619334
JKSWT,4,1049,13.99,4.3,4.3,282.5,0.0003541308400361625
TECKNET,10,1047,29.99,4.199999999999999,4.13,77.0,0.00035345566207613174
JOVERS,185,1043,25.48,4.1,4.1,3.0,0.0003521053061560701
adorer,12,1022,14.42,3.8499999999999996,3.8000000000000003,15.5,0.00034501593757574654
Belkin,23,1016,39.89,4.0,3.7913043478260873,7.0,0.0003429904036956541
Drsaec,13,1015,29.99,4.4,4.361538461538462,33.0,0.0003426528147156387
XBRN,13,1007,,3.9,3.669230769230769,24.0,0.0003399521028755154
MOZOTER,4,1004,29.99,4.4,4.425,33.0,0.0003389393359354692
Google,8,1002,64.965,2.9000000000000004,2.875,3.5,0.00033826415797543835
HISOOS,8,998,22.99,4.25,4.2625,108.5,0.00033691380205537675
Bragi,5,997,,3.1,3.16,72.0,0.00033657621307536133
Oladance,3,990,149.99,4.4,4.366666666666667,11.0,0.0003342130902152535
G-Cord,23,982,,3.3,3.3391304347826085,17.0,0.0003315123783751302
HANPURE,5,962,17.99,4.3,4.159999999999999,70.0,0.0003247605987748221
APPINESSEY,27,953,26.99,3.7,3.6888888888888887,26.0,0.0003217222979546834
PONYBRO,4,953,19.99,3.75,3.75,58.0,0.0003217222979546834
LEVN,5,950,39.99,4.2,4.26,136.0,0.0003207095310146372
QCY,23,949,37.99,4.2,4.191304347826087,12.0,0.00032037194203462176
